SiteID,Latitude,Longitude,L2,DCFC
1523,34.04057,-118.26876,1,0
1525,34.05848,-118.24819,1,1
1526,34.10240,-118.33476,1,0
1546,38.43787,-122.71090,1,0
1583,34.06872,-118.06400,1,0
6355,32.89947,-117.24300,1,0
6384,33.09859,-117.00443,1,0
6405,34.22167,-118.46837,1,0
6425,33.91115,-117.45910,1,0
6505,34.14762,-118.14711,1,0
6506,34.14502,-118.15222,1,0
6507,34.14451,-118.15002,1,0
6508,34.14297,-118.14055,1,0
7172,33.76370,-118.19200,1,0
7180,33.94618,-118.38161,1,0
7184,33.94325,-118.40334,1,0
7192,34.23795,-118.55565,1,0
7194,34.07122,-117.57500,1,0
7195,34.22935,-119.17300,1,0
7196,33.82335,-116.54360,1,0
7197,37.70019,-121.87617,1,0
7205,33.97716,-117.37465,1,0
7206,34.01890,-117.38000,1,0
7212,38.69005,-121.58889,1,0
7229,34.01756,-118.44748,1,0
7230,34.01002,-118.49583,1,0
7233,34.15694,-118.43525,1,0
7236,33.49605,-117.15200,1,0
7245,34.21108,-118.44870,1,0
7250,33.94756,-118.15381,1,0
7275,34.69891,-118.14522,1,0
7280,37.80619,-122.41520,1,0
21358,37.78881,-122.40100,1,0
21360,37.79179,-122.41127,1,0
21367,37.78606,-122.40709,1,0
21368,34.07631,-118.37700,1,0
21374,34.05597,-118.24889,1,0
21383,34.16924,-118.49721,1,0
21388,34.09793,-118.33100,1,0
21395,34.24896,-118.52389,1,0
21396,34.24169,-118.52854,1,0
21397,34.23685,-118.53259,1,0
21398,34.22928,-118.54483,1,0
21402,33.74076,-118.28192,1,0
21405,33.96126,-118.29187,1,0
21414,34.29241,-118.44979,1,0
21419,34.07759,-118.47459,1,0
21450,34.14273,-118.05128,1,0
21498,34.13556,-117.86400,1,0
21525,34.02997,-118.38523,1,0
21535,33.77699,-117.87100,1,0
21557,34.42350,-119.70228,1,0
21559,34.16549,-119.04505,1,0
21561,33.91990,-117.89862,1,0
21565,34.18997,-118.93439,1,0
21566,34.41832,-119.33680,1,0
21569,34.10520,-117.80747,1,0
21575,34.00907,-118.49280,1,0
21594,34.14770,-118.13690,1,0
21606,34.26735,-119.21240,1,0
21607,34.26876,-119.21540,1,0
21608,34.26800,-119.24920,1,0
21673,38.53912,-121.73202,1,0
21713,35.25939,-120.64492,1,0
21794,36.97339,-122.02485,1,0
25491,38.66292,-121.26340,1,0
25493,38.58098,-121.49300,1,0
25494,38.57277,-121.46790,1,0
25497,38.70420,-121.36500,1,0
25501,38.55248,-121.44870,1,0
25502,38.52440,-121.51120,1,0
25507,38.73323,-120.78962,1,0
25511,38.35603,-121.96280,1,0
25514,38.36557,-121.96700,1,0
25515,38.35172,-121.98700,1,0
25516,38.35691,-122.00189,1,0
25517,38.35587,-121.98620,1,0
25519,38.67995,-121.29890,1,0
25522,38.72799,-120.82800,1,0
25523,38.64760,-121.06700,1,0
25527,38.74453,-121.17000,1,0
25610,38.61793,-121.33390,1,0
27302,38.15485,-121.69000,1,0
27328,38.25281,-122.04423,1,0
27329,38.23723,-122.12300,1,0
28007,33.94476,-118.39977,1,0
28844,37.33695,-121.88616,1,0
32973,44.46928,-73.15497,1,0
33377,45.41983,-122.66573,1,0
33378,45.50840,-122.66467,1,0
33544,39.15000,-123.20910,1,0
33545,38.36876,-121.96119,1,0
33550,38.94125,-121.10548,1,0
33555,38.54643,-121.73880,1,0
33556,38.54430,-121.73800,1,0
33557,38.54400,-121.75014,1,0
33558,38.55755,-121.69470,1,0
33559,38.56941,-121.72137,1,0
33564,33.84788,-118.13889,1,0
33690,37.94495,-122.50960,1,0
33695,37.71360,-122.20870,1,0
33700,37.79484,-122.40535,1,0
33718,37.33767,-121.88596,1,0
33921,40.11924,-88.24392,1,0
34106,43.60905,-116.19951,1,0
34863,45.24117,-123.06973,1,0
35143,39.72417,-121.81540,1,0
35146,38.24850,-122.06844,1,0
35165,36.15333,-86.76940,1,0
35258,44.92843,-124.01594,1,0
35268,41.58940,-95.06059,1,0
35284,28.53651,-81.37901,1,1
35290,43.08398,-89.36309,1,0
35470,36.70104,-121.66730,1,0
35477,42.33347,-83.05727,1,0
35480,44.58612,-123.11539,1,0
35481,44.97604,-124.01146,1,0
35560,35.24993,-120.68968,1,0
35561,35.25982,-120.67600,1,0
35620,47.67335,-117.38893,1,0
35621,47.65500,-117.42503,1,0
35840,41.61576,-93.57875,1,0
35841,41.68239,-93.69832,1,0
35995,26.47830,-80.08950,1,0
35996,28.53791,-81.37881,1,0
36287,32.86579,-96.76417,1,0
36343,32.23616,-110.78179,1,0
36345,33.69158,-117.89276,1,1
36347,38.01847,-122.13454,1,0
36368,40.27801,-74.82047,1,0
36371,44.00980,-123.03321,1,0
36374,41.67023,-71.50011,1,0
36377,29.75435,-95.37258,1,0
36378,29.75660,-95.37285,1,0
36388,48.69510,-122.90410,1,0
36390,48.52500,-122.91530,1,0
36391,47.70795,-122.58325,1,0
36610,34.44198,-119.82955,1,0
36611,41.87940,-87.62658,1,0
36613,41.87902,-87.63444,1,0
36614,41.88340,-87.63508,1,0
36615,41.88486,-87.62704,1,0
36617,41.88522,-87.63375,1,0
36619,41.89278,-87.62609,1,0
36709,34.95014,-81.93279,1,0
36710,34.95193,-81.93171,1,0
36711,34.71598,-81.62462,1,0
36923,41.15720,-73.24190,1,0
36924,41.30579,-72.92741,1,0
36925,41.30527,-72.93414,1,0
36926,41.30336,-72.92933,1,0
36927,41.29749,-72.92672,1,0
36928,41.35647,-72.09441,1,0
36930,41.52725,-72.06442,1,0
36931,41.11929,-73.36927,1,0
36932,41.95133,-72.66308,1,0
36935,42.27904,-83.20793,1,0
36937,42.78302,-86.07565,1,0
36941,44.76036,-85.62211,1,0
36943,42.50901,-83.04883,1,0
36945,40.75461,-73.99597,1,0
36949,42.59247,-87.91585,1,0
36951,43.09123,-89.52884,1,0
37056,34.04212,-80.93904,1,0
37097,41.50337,-81.63905,1,0
37104,38.41751,-82.45659,1,0
37150,28.56057,-81.44175,1,0
37151,28.55688,-81.37763,1,0
37154,28.42902,-81.45894,1,0
37161,28.52802,-81.44774,1,0
37162,28.51249,-81.35192,1,0
37163,28.46825,-81.32811,1,0
37164,41.87780,-87.62991,1,0
37166,38.69404,-90.42180,1,0
37170,45.52246,-122.98884,1,0
37171,45.52038,-122.97811,1,0
37175,33.13109,-96.65658,1,0
37181,47.61474,-122.19316,1,0
37651,45.50933,-122.66639,1,0
37655,40.74686,-111.87600,1,0
37658,40.75956,-111.88392,1,0
37673,47.07192,-122.97668,1,0
37677,46.98419,-122.90486,1,0
37683,38.92218,-94.73255,1,0
37687,42.34718,-83.38666,1,0
37691,39.08474,-94.58716,1,0
37693,42.41914,-83.43259,1,0
37697,38.91407,-94.37632,1,0
37699,39.77394,-94.76929,1,0
37813,42.36262,-72.53950,1,0
37835,26.46531,-80.07219,1,0
38082,47.54561,-122.01960,1,0
38095,41.76343,-72.68527,1,0
38254,42.34932,-71.04174,1,0
38298,34.00741,-81.03480,1,0
38299,34.00332,-81.03569,1,0
38300,34.00841,-81.04180,1,0
38301,34.00226,-81.04022,1,0
38302,34.84709,-82.38727,1,0
38303,34.84972,-82.40067,1,0
38304,34.84989,-82.39780,1,0
38305,34.85275,-82.39311,1,0
38306,33.99779,-81.03616,1,0
38307,34.85279,-82.39620,1,0
38308,34.85335,-82.39483,1,0
38309,34.85244,-82.39990,1,1
38310,34.92578,-81.02844,1,0
38311,34.95479,-81.01324,1,0
38312,34.71656,-81.64848,1,0
38313,34.77050,-81.49443,1,0
38314,38.93078,-121.09228,1,0
38379,34.01988,-118.49151,1,0
38515,34.00943,-118.48912,1,0
38517,37.78487,-122.40899,1,0
38518,37.80680,-122.41949,1,0
38521,34.01053,-118.48980,1,1
